Date,Title,Channel,Subscribers,Views,Perf_Index
2026-01-20 02:42,[아IT템] 고수들은 지금부터 모은다 2026,매일경제TV,895000,34587,3.86
2026-01-20 02:42,&quot;반도체 다음은 이 섹터!&quot;,경제야놀자,319000,35863,11.24
2026-01-20 02:42,[특집 2026년 AI 반도체 전망] AI가 ,SBS Biz 뉴스,380000,28243,7.43
2026-01-20 02:42,삼성전자는 15만원?! 2026년 반도체 시장,서울경제TV,409000,22442,5.49
2026-01-20 02:42,[2026 증시 대전망] 2026 반도체 전망,매일경제TV,895000,7460,0.83
2026-01-20 04:14,[아IT템] 고수들은 지금부터 모은다 2026,매일경제TV,895000,34587,3.86
2026-01-20 04:14,삼성전자는 15만원?! 2026년 반도체 시장,서울경제TV,409000,22444,5.49
2026-01-20 04:14,[특집 2026년 AI 반도체 전망] AI가 ,SBS Biz 뉴스,380000,28253,7.43
2026-01-20 04:14,&quot;반도체 다음은 이 섹터!&quot;,경제야놀자,319000,35955,11.27
2026-01-20 04:14,[2026 증시 대전망] 2026 반도체 전망,매일경제TV,895000,7460,0.83
2026-01-20 04:43,[아IT템] 고수들은 지금부터 모은다 2026,매일경제TV,895000,34587,3.86
2026-01-20 04:43,삼성전자는 15만원?! 2026년 반도체 시장,서울경제TV,409000,22444,5.49
2026-01-20 04:43,[특집 2026년 AI 반도체 전망] AI가 ,SBS Biz 뉴스,380000,28253,7.43
2026-01-20 04:43,&quot;반도체 다음은 이 섹터!&quot;,경제야놀자,319000,35992,11.28
2026-01-20 04:43,[2026 증시 대전망] 2026 반도체 전망,매일경제TV,895000,7460,0.83
